Date,podium_athlete,athlete_nation,Place,Nation
11-02-2022,1.GUT-BEHRAMI LaraSUI,SUI,Beijing,China
11-02-2022,2.PUCHNER MirjamAUT,AUT,Beijing,China
11-02-2022,3.GISIN MichelleSUI,SUI,Beijing,China
08-02-2022,1.MAYER MatthiasAUT,AUT,Beijing,China
08-02-2022,2.COCHRAN-SIEGLE RyanUSA,USA,Beijing,China
08-02-2022,3.KILDE Aleksander AamodtNOR,NOR,Beijing,China
17-02-2018,1.LEDECKA EsterCZE,CZE,PyeongChang,Korea
17-02-2018,2.VEITH AnnaAUT,AUT,PyeongChang,Korea
17-02-2018,3.WEIRATHER TinaLIE,LIE,PyeongChang,Korea
16-02-2018,1.MAYER MatthiasAUT,AUT,PyeongChang,Korea
16-02-2018,2.FEUZ BeatSUI,SUI,PyeongChang,Korea
16-02-2018,3.JANSRUD KjetilNOR,NOR,PyeongChang,Korea
16-02-2014,1.JANSRUD KjetilNOR,NOR,Sochi,Russia
16-02-2014,2.WEIBRECHT AndrewUSA,USA,Sochi,Russia
16-02-2014,3.MILLER BodeUSA,USA,Sochi,Russia
16-02-2014,3.HUDEC JanCAN,CAN,Sochi,Russia
15-02-2014,1.FENNINGER AnnaAUT,AUT,Sochi,Russia
,2.HOEFL-RIESCH MariaGER,GER,Sochi,Russia
,3.HOSP NicoleAUT,AUT,Sochi,Russia
20-02-2010,1.FISCHBACHER AndreaAUT,AUT,Whistler Creekside,Canada
20-02-2010,2.MAZE TinaSLO,SLO,Whistler Creekside,Canada
20-02-2010,3.VONN LindseyUSA,USA,Whistler Creekside,Canada
19-02-2010,1.SVINDAL Aksel LundNOR,NOR,Whistler Creekside,Canada
,2.MILLER BodeUSA,USA,Whistler Creekside,Canada
,3.WEIBRECHT AndrewUSA,USA,Whistler Creekside,Canada
20-02-2006,1.DORFMEISTER MichaelaAUT,AUT,San Sicario,Italy
,2.KOSTELIC JanicaCRO,CRO,San Sicario,Italy
,3.MEISSNITZER AlexandraAUT,AUT,San Sicario,Italy
18-02-2006,1.AAMODT Kjetil AndreNOR,NOR,Sestriere,Italy
,2.MAIER HermannAUT,AUT,Sestriere,Italy
,3.HOFFMANN AmbrosiSUI,SUI,Sestriere,Italy
17-02-2002,1.CECCARELLI DanielaITA,ITA,"Snowbasin, UT",United States
,2.KOSTELIC JanicaCRO,CRO,"Snowbasin, UT",United States
,3.PUTZER KarenITA,ITA,"Snowbasin, UT",United States
16-02-2002,1.AAMODT Kjetil AndreNOR,NOR,"Snowbasin, UT",United States
,2.EBERHARTER StephanAUT,AUT,"Snowbasin, UT",United States
,3.SCHIFFERER AndreasAUT,AUT,"Snowbasin, UT",United States
16-02-1998,1.MAIER HermannAUT,AUT,Nagano,Japan
,2.CUCHE DidierSUI,SUI,Nagano,Japan
,2.KNAUSS HansAUT,AUT,Nagano,Japan
11-02-1998,1.STREET PicaboUSA,USA,Nagano,Japan
,2.DORFMEISTER MichaelaAUT,AUT,Nagano,Japan
,3.MEISSNITZER AlexandraAUT,AUT,Nagano,Japan
17-02-1994,1.WASMEIER MarkusGER,GER,Kvittfjell,Norway
,2.MOE TommyUSA,USA,Kvittfjell,Norway
,3.AAMODT Kjetil AndreNOR,NOR,Kvittfjell,Norway
15-02-1994,1.ROFFE STEINROTTER DiannUSA,USA,Kvittfjell,Norway
,2.GLADISHIVA SvetlanaRUS,RUS,Kvittfjell,Norway
,3.KOSTNER IsoldeITA,ITA,Kvittfjell,Norway
18-02-1992,1.COMPAGNONI DeborahITA,ITA,Meribel,France
,2.MERLE CaroleFRA,FRA,Meribel,France
,3.SEIZINGER KatjaGER,GER,Meribel,France
16-02-1992,1.AAMODT Kjetil AndreNOR,NOR,Val d'Isere,France
,2.GIRARDELLI MarcLUX,LUX,Val d'Isere,France
,3.THORSEN Jan EinarNOR,NOR,Val d'Isere,France
22-02-1988,1.WOLF SigridAUT,AUT,"Calgary, AB",Canada
,2.FIGINI MichelaSUI,SUI,"Calgary, AB",Canada
,3.PERCY KarenCAN,CAN,"Calgary, AB",Canada
21-02-1988,1.PICCARD FranckFRA,FRA,"Calgary, AB",Canada
,2.MAYER HelmutAUT,AUT,"Calgary, AB",Canada
,3.ERIKSSON Lars-BoerjeSWE,SWE,"Calgary, AB",Canada
