resort_name,state,summit,base,vertical,lifts,runs,acres,green_percent,green_acres,blue_percent,blue_acres,black_percent,black_acres,lat,lon
"49(degrees) North, WA",Washington,5774,3923,1851,6,68,2325,0.3,697.5,0.4,930,0.3,697.5,49,-115.84
"Afton Alps, MN",Minnesota,700,350,350,21,48,300,0.2,60,0.6,180,0.2,60,44.85,-92.79
"Alpine Meadows, CA",California,8673,6385,2288,13,100,2400,0.25,600,0.4,960,0.35,840,39.17,-120.22
"Alpine Mountain, PA",Pennsylvania,1150,600,500,3,21,120,0.17,20.4,0.55,66,0.28,33.6,40.08,-76.9
"Alpine Valley, MI",Michigan,1210,910,300,14,25,118,0.39,46.02,0.26,30.68,0.35,41.3,44.96,-84.87
"Alpine Valley, OH",Ohio,1500,1260,230,6,11,72,0.33,23.76,0.34,24.48,0.33,23.76,40.31,-83.68
"Alpine Valley, WI",Wisconsin,,,388,16,20,90,0.4,36,0.4,36,0.2,18,42.45,-88.25
"Alta, UT",Utah,10550,8530,2020,11,116,2200,0.25,550,0.4,880,0.35,770,40.6,-111.64
"Alyeska, AK",Alaska,3939,250,2500,9,73,1500,0.11,165,0.52,780,0.37,555,60.97,-149.11
"Andes Tower, MN",Minnesota,,,275,4,16,45,0.35,15.75,0.35,15.75,0.3,13.5,46.73,-94.69
"Angel Fire, NM",New Mexico,10677,8600,2077,7,77,560,0.26,145.6,0.5,280,0.24,134.4,36.39,-105.29
"Anthony Lakes, OR",Oregon,8000,7100,900,3,21,1100,0.2,220,0.38,418,0.42,462,44.97,-118.23
"Appalachian, NC",North Carolina,4000,3635,365,6,12,22,0.18,3.96,0.55,12.1,0.27,5.94,41.29,-76.57
"Apple Mountain, MI",Michigan,620,600,220,5,12,40,0.4,16,0.4,16,0.2,8,43.46,-84.1
"Arapahoe Basin, CO",Colorado,13050,10780,2270,7,105,900,0.1,90,0.3,270,0.6,540,39.72,-104.79
"Arctic Valley, AK",Alaska,3900,2500,1400,4,25,320,0.2,64,0.5,160,0.3,96,61.24,-149.61
"Arizona Snowball, AZ",Arizona,11500,9200,2300,6,40,777,0.37,287.49,0.42,326.34,0.21,163.17,35.32782,-111.69517
"Aspen Highlands, CO",Colorado,11675,8040,3635,5,118,1028,0.18,185.04,0.3,308.4,0.52,534.56,39.12,-106.85
"Aspen Mt, CO",Colorado,11212,7945,3267,8,76,673,0,0,0.48,323.04,0.52,349.96,39.17,-106.82
"Attitash, NH",New Hampshire ,2350,600,1750,11,76,310,0.2,62,0.47,145.7,0.33,102.3,44.09,-71.21
"Badger Mountain, WA",Washington,3800,3000,800,3,5,20,0.33,6.6,0.34,6.8,0.33,6.6,47.59,-120.19
"Bald Mountain, ID",Idaho,4800,4000,684,2,,140,0.25,35,0.4,56,0.35,49,44.37,-114.35
"Bear Creek Mountain, PA",Pennsylvania,1110,600,510,6,21,86,0.3,25.8,0.4,34.4,0.3,25.8,41.21,-75.68
"Bear Mountain, CA",California,8805,7140,1665,12,,748,0.3,224.4,0.4,299.2,0.3,224.4,37.1,-119.1
"Bear Paw, MT",Montana,5280,4200,900,1,11,80,0.25,20,0.25,20,0.5,40,41.78,-123.66
"Bear Valley Mt, CA",California,8500,6600,1900,9,75,1680,0.25,420,0.4,672,0.35,588,39.2,-122.44
"Bear's Den, ND",North Dakota,1190,900,290,3,8,30,0.25,7.5,0.5,15,0.25,7.5,46.53,-97.95
"Beaver Creek, CO",Colorado,11440,8100,3340,25,149,1832,0.19,348.08,0.64,1172.48,0.17,311.44,39.61,-106.53
"Beaver Mt, UT",Utah,8800,7100,1700,5,47,828,0.25,207,0.4,331.2,0.35,289.8,41.97,-111.57
"Beech Mountain, NC",North Carolina,5505,4675,830,10,15,95,0.3,28.5,0.4,38,0.3,28.5,36.22,-81.88
"Belleayre, NY",New York,3429,2025,1404,8,55,171,0.22,37.62,0.58,99.18,0.2,34.2,40.86,-73.4
"Berkshire East, MA",Massachusetts ,1840,660,1180,6,45,400,0.3,120,0.35,140,0.35,140,42.32,-73.17
"Big Boulder, PA",Pennsylvania,2175,1700,475,8,15,55,0.4,22,0.35,19.25,0.25,13.75,41.05,-75.59
"Big Powderhorn, MI",Michigan,600,1200,600,10,33,253,0.35,88.55,0.35,88.55,0.3,75.9,46.49,-90.1
"Big Sky, MT",Montana,11166,6800,4350,34,306,5800,0.15,870,0.25,1450,0.6,3480,45.29,-111.38
"Bigrock, ME",Maine,1641,661,980,5,28,60,0.11,6.6,0.75,45,0.14,8.4,44.6,-67.94
"Bittersweet, MI",Michigan,,,350,12,20,110,0.3,33,0.6,66,0.1,11,43.38,-85.78
"Black Mountain, ME",Maine,2460,1080,1380,3,35,48,,0,,0,,0,45.18,-70.67
"Black Mountain, NH",New Hampshire ,3303,1250,1100,4,40,143,0.33,47.19,0.35,50.05,0.32,45.76,44.22,-71.16
"Blackjack, MI",Michigan,1650,1185,465,6,26,126,0.2,25.2,0.4,50.4,0.4,50.4,46.48,-89.99
"Blacktail Mountain, MT",Montana,6780,5340,1440,4,25,2500,0.15,375,0.7,1750,0.15,375,48,-114.36
"Blanford, MA",Massachusetts ,1685,1220,465,5,22,158,0.4,63.2,0.5,79,0.1,15.8,42.18,-72.93
"Blue Hills, MA ",Massachusetts ,635,326,309,4,12,60,0.25,15,0.5,30,0.25,15,41.81,-72.7
"Blue Knob, PA",Pennsylvania,3172,2074,1072,5,34,100,0.2,20,0.35,35,0.45,45,40.28,-78.55
"Blue Mountain, PA",Pennsylvania,1600,460,1082,13,39,164,0.41,67.24,0.13,21.32,0.46,75.44,40.19,-77.61
"Bogus Basin, ID",Idaho,7582,5800,1800,8,66,2600,0.22,572,0.45,1170,0.33,858,43.76,-116.1
"Bolton Valley, VT",Vermont,3150,2100,1704,6,71,165,0.32,52.8,0.36,59.4,0.32,52.8,44.42,-72.85
"Boreal, CA",California,7700,7200,500,6,41,480,0.3,144,0.55,264,0.15,72,39.33,-120.35
"Boston Mills/Brandywine, OH",Ohio,660,420,264,16,17,88,0.27,23.76,0.27,23.76,0.46,40.48,40.07,-82.95
"Bottineau Winter Park, ND",North Dakota,2080,1880,250,5,9,40,0.4,16,0.4,16,0.2,8,48.83,-100.45
"Bousquet, MA ",Massachusetts ,1875,1125,750,5,23,200,0.34,68,0.33,66,0.33,66,42.4,-71.39
"Boyce Park, PA",Pennsylvania,1232,1072,160,3,4,25,0.75,18.75,0.25,6.25,,0,40.46,-79.75
"Boyne Highlands, MI",Michigan,1290,745,552,8,55,435,0.37,160.95,0.29,126.15,0.34,147.9,45.47,-84.94
"Boyne Mountain, MI",Michigan,1120,620,500,10,60,415,0.29,120.35,0.41,170.15,0.3,124.5,45.17,-84.94
"Brantling, NY",New York,850,600,250,6,8,36,0.3,10.8,0.4,14.4,0.3,10.8,43.16,-77.06
"Breckenridge, CO",Colorado,12998,9600,3398,31,155,2358,0.14,330.12,0.31,730.98,0.55,1296.9,39.49,-106.03
"Bretton Woods, NH",New Hampshire ,3100,1600,1500,10,102,464,0.25,116,0.29,134.56,0.46,213.44,44.26,-71.45
"Brian Head, UT",Utah,10929,9600,1329,9,71,650,0.3,195,0.35,227.5,0.35,227.5,37.69,-112.86
"Bridger Bowl, MT",Montana,8800,6100,2700,8,71,2000,0.2,400,0.3,600,0.5,1000,45.83,-110.89
"Brighton,  UT",Utah,10500,8755,1745,5,66,1050,0.21,220.5,0.4,420,0.39,409.5,40.6,-111.58
"Bristol Mountain, NY",New York,2200,1000,1200,6,34,138,0.32,44.16,0.5,69,0.18,24.84,44.24,-73.1
"Bromley Mountain, VT ",Vermont,3284,1950,1334,10,46,300,0.35,105,0.34,102,0.31,93,43.23,-72.94
"Brundage, ID",Idaho,7640,5840,1800,5,46,1500,0.3,450,0.5,750,0.2,300,45.05,-116.12
"Bryce, VA",Virginia,1750,1250,500,7,8,25,0.34,8.5,0.33,8.25,0.33,8.25,38.75,-78.65
"Buck Hill, MN",Minnesota,,,310,9,16,45,0.4,18,0.4,18,0.2,9,44.72,-93.28
"Buena Vista, MN",Minnesota,1510,1280,230,5,16,30,0.2,6,0.55,16.5,0.25,7.5,47.57,-94.72
"Burke Mountain, VT",Vermont,3267,1267,2011,6,55,270,0.11,29.7,0.47,126.9,0.42,113.4,44.57,-71.9
"Buttermilk, CO",Colorado,9900,7870,2030,9,44,470,0.35,164.5,0.39,183.3,0.26,122.2,39.24,-104.91
"Caberfae Peaks, MI",Michigan,1545,1060,485,6,34,200,0.35,70,0.33,66,0.32,64,44.32,-85.6
"Camden Snow Bowl, ME",Maine,1093,150,943,4,11,80,0.2,16,0.6,48,0.2,16,44.21,-69.15
"Camelback Mountain, PA",Pennsylvania,2050,1239,800,15,34,160,0.39,62.4,0.26,41.6,0.35,56,41.05,-75.35
"Camp 10, WI",Wisconsin,,,240,4,14,120,0.4,48,0.4,48,0.2,24,45.4,-88.22
"Campgaw Mountain, NJ",New Jersey,720,450,270,6,5,18,0.7,12.6,0.2,3.6,0.1,1.8,41.05,-74.21
"Canaan Valley, WV",West Virginia,4280,3430,850,5,42,91,0.3,27.3,0.4,36.4,0.3,27.3,39.12,-79.37
"Cannon Mountain, NH",New Hampshire ,4080,1900,2180,10,73,264,0.21,55.44,0.47,124.08,0.32,84.48,44.15,-71.69
"Cannonsburg, MI",Michigan,,,250,10,19,100,0.2,20,0.25,25,0.55,55,43.06,-85.48
"Cascade Mountain, WI",Wisconsin,1280,820,460,10,35,160,0.38,60.8,0.24,38.4,0.38,60.8,43.49,-89.52
"Cataloochee, NC",North Carolina,5400,4660,740,5,12,50,0.25,12.5,0.5,25,0.25,12.5,35.63,-83.09
"Catamount, NY",New York,2000,1000,1000,6,33,130,0.32,41.6,0.33,42.9,0.35,45.5,44.59,-74.09
"Chester Bowl Park, MN",Minnesota,875,700,175,1,4,117,0.4,46.8,0.6,70.2,,0,46.73,-94.69
"Chestnut Mountain, IL",Illinois,1040,565,475,9,19,146,0.3,43.8,0.4,58.4,0.3,43.8,42.32,-90.38
"China Peak, CA",California,8709,7030,1679,11,45,1200,0.11,132,0.28,336,0.61,732,40.9,-123.34
"Christie Mountain, WI",Wisconsin,1650,1300,350,5,21,100,0.4,40,0.25,25,0.35,35,45.19,-88.49
"Christmas Mountain, WI",Wisconsin,1250,1000,250,3,10,40,0.4,16,0.4,16,0.2,8,43.6,-89.87
"Clear Fork, OH",Ohio,2400,2100,300,6,9,60,0.29,17.4,0.42,25.2,0.29,17.4,41.68,-84.58
"Cloudmont, AL",Alabama,1800,1650,150,2,2,10,0.5,5,0.5,5,,0,33.4,-86.08
"Cochran, VT",Vermont,1000,500,500,5,6,30,0.22,6.6,0.56,16.8,0.22,6.6,44.39,-72.97
"Coffee Mill, MN",Minnesota,1150,725,425,3,10,28,0.3,8.4,0.4,11.2,0.3,8.4,44.36,-92.04
"Cooper Spur, OR",Oregon,4350,4000,350,2,10,50,0.4,20,0.4,20,0.2,10,45.39,-121.67
"Copper Mt, CO",Colorado,12313,9712,2601,22,127,2465,0.21,517.65,0.25,616.25,0.54,1331.1,39.46,-106.17
"Cortina, NY",New York,2650,1925,725,4,18,87,0.45,39.15,0.5,43.5,0.05,4.35,43.15,-76.31
"Cottonwood Butte, ID",Idaho,5565,4280,845,2,7,260,0.28,72.8,0.29,75.4,0.43,111.8,46.06,-116.46
"Cranmore Mountain, NH",New Hampshire ,2000,500,1500,10,54,200,0.36,72,0.44,88,0.2,40,44.06,-71.11
"Crested Butte, CO",Colorado,12162,9375,2787,16,121,1547,0.21,324.87,0.46,711.62,0.33,510.51,38.87,-106.99
"Crotched Mountain, NH",New Hampshire ,2066,1050,1000,5,25,100,0.28,28,0.4,40,0.32,32,42.99,-71.88
"Crystal Mountain, MI",Michigan,1132,757,375,8,45,85,0.25,21.25,0.49,41.65,0.26,22.1,44.51,-86
"Crystal Mountain, WA",Washington,7012,4400,3100,12,57,2600,0.11,286,0.54,1404,0.35,910,46.92,-121.52
"Dartmouth Skiway, NH",New Hampshire ,1943,975,968,4,31,107,0.24,25.68,0.5,53.5,0.26,27.82,43.2,-71.56
"Dear Valley, UT",Utah,9570,6570,3000,21,100,2026,0.27,547.02,0.4,810.4,0.33,668.58,40.61,-111.5
"Devil's Head, WI",Wisconsin,995,495,500,11,30,300,0.3,90,0.4,120,0.3,90,46.22,-89.26
